Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:49:34,2021-03-27 17:49:37,2.986s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:49:37,2021-03-27 17:49:37,0.199s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:49:37,2021-03-27 17:49:41,4.070s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:49:41,2021-03-27 17:49:42,1.301s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:49:42,2021-03-27 17:49:44,1.513s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:49:44,2021-03-27 17:49:52,8.498s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:49:52,2021-03-27 17:49:53,0.927s,PASSED
"click(findTestObject(""Service NSW Object/a_Apply for a number plate""))",Chrome 89.0.4389.90,,,2021-03-27 17:49:53,2021-03-27 17:49:58,4.972s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/a_Find locations""))",Chrome 89.0.4389.90,,,2021-03-27 17:49:58,2021-03-27 17:50:02,4.109s,PASSED
"setText(findTestObject(""Object Repository/Service NSW Object/input_Search by suburb, postcode or current_d530bf""), suburb)",Chrome 89.0.4389.90,,,2021-03-27 17:50:02,2021-03-27 17:50:12,10.046s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Sydney South 2000_button button--pri_c5c898""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:12,2021-03-27 17:50:14,1.672s,PASSED
"click(findTestObject(""Object Repository/Service NSW Object/button_Service Centres""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:14,2021-03-27 17:50:15,1.201s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 89.0.4389.90,"Step 1-Navigate to given URL
Step 2-Search for given keyword
Step 3-Click on find location 
Step 4-Enter suburb name
Step 5-Filtered to only show service centre name
Step 6-Click one of service centre name",,2021-03-27 17:50:15,2021-03-27 17:50:43,28.328s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-27 17:50:15,2021-03-27 17:50:18,2.616s,PASSED
maximizeWindow(),Chrome 89.0.4389.90,,,2021-03-27 17:50:18,2021-03-27 17:50:18,0.173s,PASSED
"navigateToUrl(""https://www.service.nsw.gov.au/"")",Chrome 89.0.4389.90,,,2021-03-27 17:50:18,2021-03-27 17:50:23,5.089s,PASSED
"click(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:23,2021-03-27 17:50:24,1.149s,PASSED
"setText(findTestObject(""Service NSW Object/input_Service NSW makes it easier to find government information and services_q""), ""Apply for a number plate"")",Chrome 89.0.4389.90,,,2021-03-27 17:50:24,2021-03-27 17:50:26,1.566s,PASSED
"click(findTestObject(""Service NSW Object/button_apply for a number plate_button button--primary""))",Chrome 89.0.4389.90,,,2021-03-27 17:50:26,2021-03-27 17:50:29,3.560s,PASSED
"scrollToElement(findTestObject(""Service NSW Object/div_87 results found""), 0)",Chrome 89.0.4389.90,,,2021-03-27 17:50:29,2021-03-27 17:50:30,0.454s,PASSED
